Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,3.228,3.228,3584,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,6.95,6.95,3584,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1.26,1.26,3584,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,0.129,0.129,3584,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,0.964,0.964,3584,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,11,Multiagent Planning with Factored MDPs,Symbolic Opportunistic Policy Iteration for Factored-Action MDPs,6.186,6.186,1941,"[u'linear', u'value', u'state', u'policy', u'function', u'factored', u'approximate', u'optimal', u'constraints', u'approximation']",[3],0
2011-2014,12,Matrix reconstruction with the local max norm,Online Optimization for Max-Norm Regularization,0.07,0.07,4615,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,13,Efficient Online Inference for Bayesian Nonparametric Relational Models,On the relations of LFPs & Neural Spike Trains,7.753,7.753,5072,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,0,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,2.669,2.669,3421,"[u'objects', u'relations', u'concept', u'set', u'algorithm', u'sense', u'images', u'image', u'model', u'words']","[0, 9]",5
2008-2011,1,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,0.432,0.432,3421,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
1993-1996,2,Improving Elevator Performance Using Reinforcement Learning,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,1.06,1.06,1073,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1990-1993,3,HARMONET: A Neural Net for Harmonizing Chorales in the Style of J. S. Bach,Bach in a Box - Real-Time Harmony,0.108,0.108,576,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2014-2017,4,Combinatorial Bandits Revisited,Combinatorial semi-bandit with known covariance,0.055,0.055,5831,"[u'lower', u'algorithm', u'problem', u'bounds', u'action', u'bound', u'feedback', u'log', u'regret', u'minimax']",[9],6
1999-2002,5,Explaining Away in Weight Space,Dynamical Causal Learning,0.06,0.06,1852,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,6,Convolution Kernels for Natural Language,Kernels for Structured Natural Language Data,5.041,5.041,2089,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2005-2008,7,Approximate inference using planar graph decomposition,Efficient Exact Inference in Planar Ising Models,0.06,0.06,3046,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,7,Approximate inference using planar graph decomposition,Randomized Pruning: Efficiently Calculating Expectations in Large Dynamic Programs,0.06,0.06,3046,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,7,Approximate inference using planar graph decomposition,MAP estimation in Binary MRFs via Bipartite Multi-cuts,67.179,67.179,3046,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,7,Approximate inference using planar graph decomposition,Learning as MAP Inference in Discrete Graphical Models,67.179,67.179,3046,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,7,Approximate inference using planar graph decomposition,Projecting Ising Model Parameters for Fast Mixing,3.633,3.633,3046,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,7,Approximate inference using planar graph decomposition,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks,3.633,3.633,3046,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2011-2014,8,Multimodal Learning with Deep Boltzmann Machines,Expressing an Image Stream with a Sequence of Natural Sentences,0.184,0.184,4683,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,9,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,0.342,0.342,5390,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,10,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1.259,1.259,5390,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
1990-1993,11,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,0.066,0.066,700,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,11,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Robust Parameter Estimation and Model Selection for Neural Network Regression,0.514,0.514,700,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2014-2017,12,Active Learning from Weak and Strong Labelers,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,0.054,0.054,5988,"[u'learning', u'classi', u'algorithm', u'label', u'active', u'difference', u'error', u'labels', u'weak', u'oracle']",[4],1
2014-2017,12,Active Learning from Weak and Strong Labelers,The Multi-fidelity Multi-armed Bandit,0.553,0.553,5988,"[u'learning', u'classi', u'algorithm', u'label', u'active', u'difference', u'error', u'labels', u'weak', u'oracle']",[4],1
2008-2011,13,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,0.0,0.0,4289,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,13,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,0.069,0.069,4289,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,13,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,0.221,0.221,4289,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,13,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.105,0.105,4289,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,13,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,59.386,59.386,4289,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,0,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,4.914,4.914,4289,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,0,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1.081,1.081,4289,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,0,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,0.053,0.053,4289,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,0,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.066,0.066,4289,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,0,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,0.264,0.264,4289,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2008-2011,1,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,0.428,0.428,4185,"[u'graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2008-2011,1,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,0.139,0.139,4185,"[u'graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2011-2014,2,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,13.716,13.716,4185,"[u'data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
2011-2014,2,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,0.759,0.759,4185,"[u'data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
2005-2008,3,Variational inference for Markov jump processes,Approximate inference in continuous time Gaussian-Jump processes,0.188,0.188,3296,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Variational inference for Markov jump processes,Approximate inference in latent Gaussian-Markov models from continuous time observations,1.917,1.917,3296,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,4,Learning the context of a category,Inductive reasoning about chimeric creatures,0.057,0.057,4139,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,5,Bayesian time series classification,Adaptive Classification by Variational Kalman Filtering,5.637,5.637,2096,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,6,On Spectral Clustering: Analysis and an algorithm,A Three Tiered Approach for Articulated Object Action Modeling and Recognition,0.765,0.765,2092,"[u'function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
1999-2002,6,On Spectral Clustering: Analysis and an algorithm,Fundamental Limitations of Spectral Clustering,42.775,42.775,2092,"[u'function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
2011-2014,7,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,Deterministic Symmetric Positive Semidefinite Matrix Completion,0.573,0.573,4874,"[u'data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
2011-2014,8,On Lifting the Gibbs Sampling Algorithm,An Integer Polynomial Programming Based Framework for Lifted MAP Inference,5.282,5.282,4511,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,9,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,0.08,0.08,3583,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
